IATA,Name
AAA,Anaa
AAB,Arrabury
AAC,Al Arish International Airport
AAD,Ad-Dabbah
AAE,Les Salines
AAF,Municipal
AAG,Arapoti
AAH,Aachen/Merzbruck
AAI,Arraias
AAJ,Cayana Airstrip
AAK,Aranuka
AAL,Aalborg
AAM,Mala Mala
AAN,Al Ain
AAO,Anaco
AAP,Andrau Airpark
AAQ,Vityazevo
AAR,Aarhus Airport
AAS,Apalapsili
AAT,Altay
AAU,Asau
AAV,Allah Valley
AAW,Abbottabad
AAX,Araxa
AAY,Al Ghaydah
AAZ,Ambriz
ABA,Abakan
ABB,RAF Station
ABC,Los Llanos
ABD,Abadan
ABF,Abaiang
ABG,Abingdon
ABH,Alpha
ABI,Municipal
ABJ,Felix Houphouet Boigny
ABK,Kabri Dar
ABL,Ambler
ABM,Bamaga Injinoo
ABN,Albina
ABO,Aboisso
ABP,Atkamba
ABQ,Albuquerque International
ABR,Municipal
ABS,Abu Simbel
ABT,Al-Aqiq
ABU,Atambua
ABV,Nnamdi Azikiwe International Airport
ABW,Abau
ABX,Albury
ABY,Dougherty County
ABZ,Dyce
ACB,Antrim County
ACC,Kotoka
ACD,Acandi
ACE,Lanzarote
ACH,Altenrhein
ACI,The Blaye
ACJ,Anuradhapura
ACK,Nantucket Memorial
ACL,Aguaclara
ACM,Arica
ACN,International
ACO,Ascona
ACP,Sahand
ACR,Araracuara
ACS,Achinsk
ACT,Municipal
ACU,Achutupo
ACV,Arcata
ACX,Xingyi
ACY,Atlantic City Intl
ACZ,Zabol A/P
ADA,Adana
ADB,Adnan Menderes
ADC,Andakombe
ADD,Bole International
ADE,International
ADF,Adiyaman
ADG,Lenawee County
ADH,Aldan
ADI,Arandis
ADJ,Marka International Airport
ADK,Adak Island NS
ADL,Adelaide International Airport
ADM,Ardmore Municipal Arpt
ADN,Andes
ADO,Andamooka
ADP,Ampara
ADQ,Kodiak Airport
ADR,Andrews
ADS,Addison Airport
ADT,Ada
ADU,Ardabil
ADV,Andover
ADW,Andrews AFB
ADX,Leuchars
ADY,Alldays
ADZ,San Andres Island
AEA,Abemama Atoll
AED,Aleneva
AEG,Aek Godang
AEH,Abecher
AEI,Algeciras
AEK,Aseki
AEL,Albert Lea
AEO,Aioun El Atrouss
AEP,Arpt. Jorge Newbery
AER,Adler - Sochi
AES,Vigra
AET,Allakaket
AEU,Abu Musa
AEX,Alexandria International
AEY,Akureyri
AFA,San Rafael
AFD,Port Alfred
AFF,USAF Academy Airstrip
AFI,Amalfi
AFK,Kondavattavan Tank
AFL,Alta Floresta
AFN,Municipal
AFO,Municipal
AFR,Afore
AFS,Zarafshan
AFT,Afutara Aerodrome
AFW,Fort Worth Alliance
AFY,Afyon
AFZ,Sabzevar
AGA,Agadir Almassira
AGB,Augsburg - Muehlhausen
AGC,Allegheny County
AGD,Anggi
AGE,Flugplatz
AGF,La Garenne
AGG,Angoram
AGH,Angelholm
AGI,Wageningen
AGJ,Aguni
AGK,Kagua
AGL,Wanigela
AGM,Tasiilaq
AGN,Angoon
AGO,Municipal
AGP,Pablo Ruiz Picasso
AGQ,Agrinion
AGR,Kheria
AGS,Bush Field
AGT,Alejo Garcia
AGU,Aguascalients
AGV,Acarigua
AGW,Agnew
AGX,Agatti Island
AGY,Argyle Downs
AGZ,Aggeneys
AHA,Naha Air Force Base
AHB,Abha
AHC,Amedee AAF
AHD,Downtown
AHE,Ahe Airport
AHF,Municipal
AHH,Municipal
AHI,Amahai
AHL,Aishalton
AHN,Athens
AHO,Fertilia
AHS,Ahuas
AHT,Amchitka
AHU,Charif Al Idrissi
AHY,Ambatolahy
AHZ,Alpe D Huez
AIA,Alliance
AIB,Anita Bay
AIC,Airok
AID,Municipal
AIE,Aiome
AIF,Assis
AIG,Yalinga
AIH,Aiambak
AII,Alisabieh
AIK,Municipal
AIL,Ailigandi
AIM,Ailuk Island
AIN,Wainwright
AIO,Municipal
AIP,Ailinglapalap Island
AIR,Aripuana
AIS,Arorae Island
AIT,Aitutaki
AIU,Atiu Island
AIV,George Downer
AIW,Ai-ais
AIY,Bader Field
AIZ,Lee C Fine Memorial
AJA,Campo Dell Oro
AJF,Jouf
AJI,A&amp;#287;ri
AJJ,Akjoujt
AJK,Araak
AJL,Aizawl
AJN,Ouani
AJO,Aljouf
AJR,Arvidsjaur
AJS,Abreojos
AJU,Santa Maria
AJY,Agades
AKA,Ankang
AKB,Atka
AKC,Fulton International
AKD,Akola
AKE,Akieni
AKF,Kufrah
AKG,Anguganak
AKH,Prince Sultan Air Base
AKI,Akiak
AKJ,Asahikawa
